Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.385581970214844,35.250708662549606,26.76800292891584,28.908800170638344,855215656
1,2007-10-08,30.727670669555664,33.480122790770764,30.534515292099577,33.480122790770764,126671715
2,2007-10-09,32.82018280029297,33.10991372744685,29.085860943707615,30.743769817332836,116725709
3,2007-10-10,33.125999450683594,33.80204096867718,32.83626861907928,33.67327001215155,67931378
4,2007-10-11,36.82814025878906,38.63091684391881,32.83628062724405,38.63091684391881,106320954
5,2007-10-12,36.58668899536133,37.954866688520234,35.733590836431546,36.05551499952776,99410791
6,2007-10-15,37.0695686340332,37.56855361773639,36.747644528305386,37.34320499717687,41814972
7,2007-10-16,40.85218048095703,41.49603311559861,36.860322090982606,37.11785965173882,138614496
8,2007-10-17,44.039241790771484,45.06939660809636,34.15616494836811,36.69936743124684,204876259
9,2007-10-18,42.493995666503906,48.11157371603889,40.67512512935705,44.74746467056655,146617799
10,2007-10-19,42.34912872314453,44.07142361339064,40.24052314796228,41.52821960924905,110266491
11,2007-10-22,41.785762786865234,43.08955374685492,40.401486429232264,41.4960319475759,72253405
12,2007-10-23,44.76356506347656,45.16597025685034,42.81592130772198,42.81592130772198,74594921
13,2007-10-24,44.07143020629883,46.19613055854366,43.57244513307889,45.71323994694737,63055170
14,2007-10-25,43.97484588623047,45.00500485164343,38.84015425191117,42.5744750435638,34522489
15,2007-10-26,45.29473114013672,46.01906036179189,43.540243056688624,44.74745842611391,62370025
16,2007-10-29,46.21221160888672,47.32285139712434,45.809806521318684,46.035155116906644,43657697
17,2007-10-30,47.24237060546875,48.51396806843824,45.45568938830007,46.839965515976886,79921711
18,2007-10-31,48.2242431640625,49.286595349828254,47.3228574001175,47.48381945556305,44655368
19,2007-11-01,47.14579391479492,49.7855732248209,46.759487622891704,49.41536139102304,50632492
20,2007-11-02,47.9988899230957,48.288625088129564,45.06937992248777,45.4395961075033,32001693
21,2007-11-05,48.98077392578125,50.05922075170029,47.67697843783403,47.96671367940626,38833135
22,2007-11-06,49.62461853027344,52.763378903079875,48.94857696131693,49.83386834851875,81880281
23,2007-11-07,48.90028762817383,51.25033203328233,47.80574645821063,50.54210156630636,33593141
24,2007-11-08,48.06328201293945,49.36707730640477,47.000934173560566,47.64478240745693,27990521
25,2007-11-12,49.22221374511719,50.09141067873099,45.34302519784152,46.61462731065141,35153735
26,2007-11-13,50.39723587036133,51.41129604615054,48.46569101500069,50.05921726722347,43830531
27,2007-11-14,49.73728942871094,51.990758259177575,49.47974751397528,51.28252345162365,36738579
28,2007-11-15,50.57427978515625,51.45957087990537,49.624602136966615,50.67085524894285,29242252
29,2007-11-16,50.22018051147461,51.3630094977053,49.6407144215067,50.34894929823112,18895294
30,2007-11-19,52.03905487060547,53.92231215880058,50.976706844636965,51.36301323300003,40716718
31,2007-11-20,51.23423385620117,53.2784528089781,50.60648010098517,51.82979432744132,26342171
32,2007-11-21,47.24237060546875,51.8458830827058,46.09953753148706,51.54005783451678,26814499
33,2007-11-22,45.61666488647461,48.64275554561221,43.63683213516187,46.74339946957343,34096185
34,2007-11-23,48.642757415771484,48.93248830357522,45.906397528094054,48.610564124598596,27664090
35,2007-11-26,49.02906799316406,50.44553362821821,48.64276156526375,50.44553362821821,20159123
36,2007-11-27,47.82183837890625,49.866057371448875,47.32285774988709,49.866057371448875,20573198
37,2007-11-28,47.11362075805664,49.093458269504325,46.791696527431235,48.868109561515816,16435311
38,2007-11-29,45.842002868652344,48.54616436475616,45.24644242593084,48.288626838031966,25530967
39,2007-11-30,47.612586975097656,47.90231779400873,46.03515974647063,46.67900795132861,18437721
40,2007-12-03,48.28862380981445,48.88418421518791,47.82183215972791,48.19204396856828,16851227
41,2007-12-04,47.660884857177734,49.01296812158914,47.30676739589132,48.610562907940036,14008727
42,2007-12-05,49.56023025512695,49.73729114631763,47.644784302908285,47.74135979528469,27725290
43,2007-12-06,48.642757415771484,51.39520739947117,48.01500352021662,50.63868470560087,24104710
44,2007-12-07,48.43350601196289,49.6407217530561,47.564313298201604,48.948585601437934,11742386
45,2007-12-10,48.481781005859375,49.07733706795141,47.854027295728784,48.90028056836321,8330010
46,2007-12-11,48.25643539428711,49.19001442220266,48.01499231639299,48.91637806064764,11685950
47,2007-12-12,48.2242431640625,48.65884158704053,47.3228574001175,47.644781511008595,16342131
48,2007-12-13,47.41944122314453,48.93248655687527,47.24238467757807,48.288638221904904,14620172
49,2007-12-14,46.95263671875,47.69306472328018,46.71119365852001,47.25846634159124,10991851
50,2007-12-17,44.11971664428711,47.4838257990707,43.4597695089709,47.22628385612689,19355678
51,2007-12-18,43.92655944824219,45.39131254089077,42.55838185118833,43.62072976823285,21607783
52,2007-12-19,43.12175369262695,45.7293403817135,42.75154176489192,45.343029625413244,19526912
53,2007-12-20,42.68716049194336,44.0392439407628,42.49400508977249,43.68512643117898,17105204
54,2007-12-24,43.99095153808594,44.68308765362374,42.97688687532872,43.33100434753155,16711519
55,2007-12-26,45.326942443847656,45.87421537544918,44.23240094702136,44.23240094702136,20930094
56,2007-12-27,45.64884567260742,46.90434870517259,45.262535031952865,46.2605005483315,44565277
57,2007-12-28,46.00297927856445,46.19613466710652,45.069395628340516,45.55228191650753,18354518
58,2007-12-31,46.34098815917969,46.61462453803237,45.777620941814014,46.35708698521536,11982308
59,2008-01-01,47.194095611572266,47.628694139059554,46.147841999580315,46.582440527067604,16687746
60,2008-01-02,46.93653869628906,47.54819352913941,46.244402849474874,47.194076194423594,13437280
61,2008-01-03,48.868099212646484,49.0612545833923,46.0834560807201,46.64682336500943,31815218
62,2008-01-04,48.61056137084961,50.22018217454902,48.288637210109734,49.57633385306926,28011310
63,2008-01-07,48.208160400390625,49.31879623258058,47.69308082473127,48.30473591053713,15858063
64,2008-01-08,46.56634521484375,48.932488829004434,46.00297789558532,48.256447172619076,13282666
65,2008-01-09,45.825904846191406,46.82387042086799,45.71323053888719,46.614620630945886,13113527
66,2008-01-10,44.73137664794922,47.322868995429545,44.42554692111649,46.035172236346526,18023003
67,2008-01-11,45.407413482666016,45.84201196583568,43.6207317999409,45.34302690502021,11629440
68,2008-01-14,46.09954833984375,46.58243456044999,44.76356400277497,45.487893333684326,10264240
69,2008-01-15,44.69918441772461,47.03313484901594,44.328972463967474,46.83998382366534,11558334
70,2008-01-16,43.78168869018555,44.74746104218779,42.67105310520814,44.37724918052865,14834065
71,2008-01-17,44.956722259521484,45.95468805298553,43.00907842448863,43.94265763784171,16169395
72,2008-01-18,42.86419677734375,44.6347789405674,42.49398065011589,44.586486843016566,13254156
73,2008-01-21,35.5726318359375,42.49400194198706,30.985209931297906,42.49400194198706,33202389
74,2008-01-22,31.999271392822266,33.8020476764268,25.415920156765676,32.063655792267845,58755707
75,2008-01-23,35.5726318359375,36.940809647598456,32.51435202163653,32.51435202163653,28425991
76,2008-01-24,35.65311050415039,38.180216107949086,33.96300861430983,37.48808001681339,29911930
77,2008-01-25,37.48807907104492,37.66513561324904,35.97503376604724,37.343211451877266,12550722
78,2008-01-28,37.8904914855957,38.18022241270831,33.96301422267494,36.9730065777585,13601109
79,2008-01-29,37.26273727416992,38.53433969232833,36.699369888014594,37.98706677065534,7679877
80,2008-01-30,35.20241165161133,37.50416820518528,34.73561993737856,37.34320614736367,9016102
81,2008-01-31,32.90065383911133,35.66920218469349,32.51434532612463,35.57262451064989,41538563
82,2008-02-01,34.04348373413086,34.284926819247026,33.15819242203822,33.46401989321452,9089201
83,2008-02-04,35.79798126220703,36.21648318136195,34.68734314908736,34.68734314908736,12009385
84,2008-02-05,36.90861129760742,37.39149751790569,35.089740741092406,35.8623578202945,14593303
